Mes_Servicio,DMU_Servicio,CEM_Porcentaje_Error,servicio,DOE_Prom_Mensual,MA_Potencial_Perdido,Segmento
6.0,0.0,0.0,6000.0,85.875,0.0,AGRICOLA
7.0,0.0,0.7222222222222222,5400.0,85.875,0.0,AGRICOLA
12.0,0.0,0.0,7200.0,85.875,0.0,AGRICOLA
1.0,0.0,0.0,7500.0,85.875,0.0,AGRICOLA
2.0,0.0,0.0,7800.0,85.875,0.0,AGRICOLA
3.0,0.0,0.0,8100.0,85.875,0.0,AGRICOLA
4.0,0.0,0.0,8400.0,85.875,0.0,AGRICOLA
5.0,0.0,0.0,8700.0,85.875,0.0,AGRICOLA
7.0,0.0,90.0,9000.0,85.875,0.0,AGRICOLA
1.0,0.0,0.5714285714285714,6300.0,86.04166666666667,3900.0,AGRICOLA
3.0,0.0,0.6060606060606061,6600.0,86.04166666666667,3900.0,AGRICOLA
5.0,56.0,0.6666666666666667,8400.0,86.04166666666667,3900.0,AGRICOLA
6.0,0.0,0.4202898550724638,6900.0,86.04166666666667,3900.0,AGRICOLA
6.0,16.0,0.20512820512820512,7800.0,86.04166666666667,3900.0,AGRICOLA
9.0,0.0,0.06944444444444445,7200.0,86.04166666666667,3900.0,AGRICOLA
3.0,22.0,0.2528735632183908,8700.0,86.04166666666667,3900.0,AGRICOLA
5.0,0.0,0.05555555555555555,9000.0,86.04166666666667,3900.0,AGRICOLA
,,,,83.79166666666667,0.0,AGRICOLA
3.0,0.0,0.6666666666666667,4800.0,148.70833333333334,10850.0,AGRICOLA
4.0,230.0,3.650793650793651,6300.0,148.70833333333334,10850.0,AGRICOLA
4.0,0.0,0.39215686274509803,5100.0,148.70833333333334,10850.0,AGRICOLA
5.0,2.0,0.047619047619047616,4200.0,148.70833333333334,10850.0,AGRICOLA
5.0,146.0,2.1159420289855073,6900.0,148.70833333333334,10850.0,AGRICOLA
5.0,0.0,0.4444444444444444,5400.0,148.70833333333334,10850.0,AGRICOLA
6.0,0.0,0.8888888888888888,4500.0,148.70833333333334,10850.0,AGRICOLA
6.0,37.0,0.6166666666666667,6000.0,148.70833333333334,10850.0,AGRICOLA
6.0,0.0,0.543859649122807,5700.0,148.70833333333334,10850.0,AGRICOLA
12.0,0.0,0.5416666666666667,7200.0,148.70833333333334,10850.0,AGRICOLA
1.0,0.0,0.52,7500.0,148.70833333333334,10850.0,AGRICOLA
3.0,0.0,0.358974358974359,7800.0,148.70833333333334,10850.0,AGRICOLA
5.0,60.0,0.7407407407407408,8100.0,148.70833333333334,10850.0,AGRICOLA
11.0,52.0,0.6190476190476191,8400.0,148.70833333333334,10850.0,AGRICOLA
